iter	Passed	Remaining
819	4549	998
820	4555	993
821	4560	987
822	4566	982
823	4572	976
824	4578	971
825	4584	965
826	4589	960
827	4594	954
828	4600	948
829	4605	943
830	4611	937
831	4617	932
832	4622	926
833	4628	921
834	4633	915
835	4639	910
836	4645	904
837	4651	899
838	4657	893
839	4663	888
840	4668	882
841	4674	877
842	4679	871
843	4684	865
844	4689	860
845	4693	854
846	4699	848
847	4704	843
848	4709	837
849	4715	832
850	4721	826
851	4726	821
852	4731	815
853	4737	809
854	4743	804
855	4749	798
856	4755	793
857	4761	788
858	4766	782
859	4772	776
860	4778	771
861	4783	765
862	4789	760
863	4794	754
864	4801	749
865	4806	743
866	4811	738
867	4816	732
868	4822	726
869	4827	721
870	4832	715
871	4837	710
872	4843	704
873	4849	699
874	4855	693
875	4861	688
876	4866	682
877	4871	676
878	4877	671
879	4882	665
880	4887	660
881	4892	654
882	4898	649
883	4904	643
884	4909	637
885	4914	632
886	4919	626
887	4924	621
888	4929	615
889	4935	609
890	4941	604
891	4946	598
892	4951	593
893	4956	587
894	4961	582
895	4965	576
896	4969	570
897	4974	565
898	4979	559
899	4984	553
900	4989	548
901	4994	542
902	5000	537
903	5004	531
904	5009	525
905	5014	520
906	5020	514
907	5025	509
908	5030	503
909	5035	498
910	5041	492
911	5046	486
912	5051	481
913	5056	475
914	5061	470
915	5066	464
916	5073	459
917	5078	453
918	5083	448
919	5088	442
920	5093	436
921	5098	431
922	5102	425
923	5108	420
924	5113	414
925	5118	409
926	5123	403
927	5129	397
928	5134	392
929	5140	386
930	5145	381
931	5151	375
932	5156	370
933	5162	364
934	5168	359
935	5173	353
936	5179	348
937	5185	342
938	5190	337
939	5196	331
940	5202	326
941	5209	320
942	5215	315
943	5222	309
944	5229	304
945	5234	298
946	5239	293
947	5244	287
948	5250	282
949	5255	276
950	5261	271
951	5267	265
952	5273	260
953	5278	254
954	5283	248
955	5289	243
956	5295	237
957	5301	232
958	5307	226
959	5312	221
960	5317	215
961	5322	210
962	5327	204
963	5332	199
964	5337	193
965	5342	188
966	5346	182
967	5350	176
968	5354	171
969	5358	165
970	5362	160
971	5366	154
972	5370	149
973	5374	143
974	5377	137
975	5381	132
976	5386	126
977	5389	121
978	5393	115
979	5397	110
980	5401	104
981	5405	99
982	5409	93
983	5413	88
984	5417	82
985	5421	76
986	5426	71
987	5429	65
988	5433	60
989	5437	54
990	5441	49
991	5444	43
992	5448	38
993	5465	32
994	5468	27
995	5472	21
996	5476	16
997	5480	10
998	5484	5
999	5488	0
97	124
980	6103	118
981	6109	111
982	6114	105
983	6120	99
984	6126	93
985	6132	87
986	6137	80
987	6142	74
988	6148	68
989	6155	62
990	6161	55
991	6167	49
992	6173	43
993	6180	37
994	6185	31
995	6190	24
996	6194	18
997	6199	12
998	6204	6
999	6208	0
985	6924	98
986	6930	91
987	6935	84
988	6940	77
989	6945	70
990	6951	63
991	6956	56
992	6961	49
993	6967	42
994	6973	35
995	6979	28
996	6984	21
997	6989	14
998	6995	7
999	7000	0
